"r", 5, 64, 3, 100, 21, "24/07/2019 12:36:39", 1563964599.52, 1.0, 18340, 18457, 18398, 0.8863685932388222, 0.8569648371891423, 0.856560495706055
"p", 5, 16, 3, 100, 15, "24/07/2019 12:36:46", 1563964606.79, 1.0, 18340, 18457, 18398, 0.9224100327153762, 0.8886059489624533, 0.8924339602130666
"s", 5, 128, 3, 100, 23, "24/07/2019 12:37:08", 1563964628.07, 1.0, 18340, 18457, 18398, 0.7871864776444929, 0.756840223221542, 0.7619849983693879
"o", 5, 8, 3, 100, 11, "24/07/2019 12:37:22", 1563964642.61, 1.0, 18340, 18457, 18398, 0.9227371864776445, 0.8967329468494338, 0.8976519186868138
"q", 5, 32, 3, 100, 19, "24/07/2019 12:37:29", 1563964649.85, 1.0, 18340, 18457, 18398, 0.9153762268266085, 0.8780408517093785, 0.8775953908033481
"t", 5, 256, 3, 100, 24, "24/07/2019 12:37:40", 1563964660.02, 1.0, 18340, 18457, 18398, 0.7553435114503817, 0.7258492712791894, 0.7301337101858898
"r", 5, 64, 3, 100, 22, "24/07/2019 12:37:54", 1563964674.54, 1.0, 18340, 18457, 18398, 0.8791712104689204, 0.8460204800346752, 0.8446026742037178
"s", 5, 128, 3, 100, 24, "24/07/2019 12:38:18", 1563964698.12, 1.0, 18340, 18457, 18398, 0.7919302071973827, 0.7626374817142547, 0.768616153929775
"p", 5, 16, 3, 100, 16, "24/07/2019 12:38:32", 1563964712.76, 1.0, 18340, 18457, 18398, 0.9223009814612868, 0.891477488215853, 0.8936840960974018
"t", 5, 256, 3, 100, 25, "24/07/2019 12:38:47", 1563964727.85, 1.0, 18340, 18457, 18398, 0.7588876772082879, 0.7334886492929512, 0.7343189477117078
"q", 5, 32, 3, 100, 20, "24/07/2019 12:38:55", 1563964735.69, 1.0, 18340, 18457, 18398, 0.9206652126499455, 0.8836213902584386, 0.8845526687683444
"r", 5, 64, 3, 100, 23, "24/07/2019 12:39:08", 1563964748.4, 1.0, 18340, 18457, 18398, 0.8951472191930208, 0.864062415343772, 0.8638438960756604
"s", 5, 128, 3, 100, 25, "24/07/2019 12:39:29", 1563964769.08, 1.0, 18340, 18457, 18398, 0.8066521264994547, 0.7742319986996803, 0.7781280573975432
"o", 5, 8, 3, 100, 12, "24/07/2019 12:39:53", 1563964793.18, 1.0, 18340, 18457, 18398, 0.9399672846237732, 0.9127702226797421, 0.9131970866398521
"t", 5, 256, 3, 100, 26, "24/07/2019 12:39:56", 1563964796.47, 1.0, 18340, 18457, 18398, 0.755834242093784, 0.7255783713496234, 0.7295358191107729
"p", 5, 16, 3, 100, 17, "24/07/2019 12:40:17", 1563964817.89, 1.0, 18340, 18457, 18398, 0.9320610687022901, 0.8960827870184753, 0.8996630068485705
"q", 5, 32, 3, 100, 21, "24/07/2019 12:40:21", 1563964821.21, 1.0, 18340, 18457, 18398, 0.9284078516902944, 0.8894728287370646, 0.8874877704098272
"r", 5, 64, 3, 100, 24, "24/07/2019 12:40:22", 1563964822.67, 1.0, 18340, 18457, 18398, 0.89340239912759, 0.8602698163298478, 0.8598217197521469
"s", 5, 128, 3, 100, 26, "24/07/2019 12:40:37", 1563964837.09, 1.0, 18340, 18457, 18398, 0.8137404580152672, 0.7843094760795363, 0.7854658115012502
"t", 5, 256, 3, 100, 27, "24/07/2019 12:41:01", 1563964861.25, 1.0, 18340, 18457, 18398, 0.7672846237731734, 0.7378230481660075, 0.7401347972605719
"r", 5, 64, 3, 100, 25, "24/07/2019 12:41:37", 1563964897.28, 1.0, 18340, 18457, 18398, 0.9004907306434023, 0.8657961748929945, 0.8658006305033156
"q", 5, 32, 3, 100, 22, "24/07/2019 12:41:47", 1563964907.4, 1.0, 18340, 18457, 18398, 0.9328789531079608, 0.8932654277509888, 0.8958038917273616
"s", 5, 128, 3, 100, 27, "24/07/2019 12:41:48", 1563964908.72, 1.0, 18340, 18457, 18398, 0.8188113413304253, 0.7864766755160644, 0.7864441787150778
"p", 5, 16, 3, 100, 18, "24/07/2019 12:42:02", 1563964922.22, 1.0, 18340, 18457, 18398, 0.9251908396946565, 0.8899062686243702, 0.8922708990107621
"t", 5, 256, 3, 100, 28, "24/07/2019 12:42:05", 1563964925.75, 1.0, 18340, 18457, 18398, 0.7665757906215922, 0.7380397681096603, 0.7417110555495162
"o", 5, 8, 3, 100, 13, "24/07/2019 12:42:23", 1563964943.49, 1.0, 18340, 18457, 18398, 0.9428026172300982, 0.9158584818767947, 0.9187411675182084
